년,기초지자체,현지인(a),외지인(b),외국인(c),내국인(a+b),외부방문자(b+c),전체방문자(a+b+c)
2018,강릉시,9167249,31244031,418154,40411280,31662185,40829434
2018,전주시,10495256,37292555,111949,47787810,37404503.5,47899759
2018,목포시,9248442,22355071,68942,31603513,22424013,31672455
2018,부산광역시,77002999,145717600,3910899,222720599,149628499,226631499
2018,안동시,6835122,18414046,56740,25249168,18470786,25305908
2019,강릉시,51030368,32137920,161141,83168288,32299061,83329429
2019,전주시,61336137,36765379,144686,98101516,36910065,98246202
2019,목포시,54444733,23609856,99406,78054588,23709261,78153994
2019,부산광역시,472292712,149672134,5284413,621964847,154956548,627249260
2019,안동시,41153724,18972849,75528,60126574,19048377,60202102
2020,강릉시,56888227,31213630,30641,88101856,31244271,88132497
2020,전주시,59348634,31472464,27739,90821098,31500203,90848837
2020,목포시,52771778,21274212,24089,74045990,21298301,74070080
2020,부산광역시,478526010,124725884,939414,603251894,125665298,604191308
2020,안동시,40787393,15894109,9918,56681502,15904027,56691421
